S. No,Semester,Category,Name of FC,LS Code,Name of Faculty
1,Monsoon 2026,Senior Year Section,[ FC-0102 ] Environmental Studies,FC-0102-6,Prof. A J Urfi
2,Monsoon 2026,Senior Year Section,[ FC-0102 ] Environmental Studies,FC-0102-7,Prof. Simon Alexander Burns Brown
3,Monsoon 2026,Senior Year Section,[ FC-0201 ] Indian Civilisations,FC-0201-4,Prof. Indivar Kamtekar
4,Monsoon 2026,Senior Year Section,[ FC-0306 ] Quantitative Reasoning and Mathematical Thinking,FC-0306-5,Prof. Abhishek Khetan
5,Monsoon 2026,Senior Year Section,[ FC-0306 ] Quantitative Reasoning and Mathematical Thinking,FC-0306-6,Prof. Conjeeveram Srirangachari Rajan
6,Monsoon 2026,Senior Year Section,[ FC-0306 ] Quantitative Reasoning and Mathematical Thinking,FC-0306-7,Prof. Krishna Maddaly
7,Monsoon 2026,Senior Year Section,"[ FC-0412 ] Economy, Politics and Society",FC-0412-6,Prof. Kathryn Collins Hardy
8,Monsoon 2026,Senior Year Section,"[ FC-0412 ] Economy, Politics and Society",FC-0412-7,Prof. Nitish Kashyap
9,Monsoon 2026,Senior Year Section,[ FC-0503 ] Mind and Behaviour,FC-0503-5,Prof. Nandini Chatterjee Singh .
10,Monsoon 2026,Senior Year Section,[ FC-0503 ] Mind and Behaviour,FC-0503-6,Prof. Rachel Kathleen Harbin
11,Monsoon 2026,Senior Year Section,[ FC-0601 ] Great Books,FC-0601-6,Prof. Devapriya Roy
12,Monsoon 2026,Senior Year Section,[ FC-0601 ] Great Books,FC-0601-7,Prof. Rudrangshu Mukherjee
13,Monsoon 2026,Senior Year Section,[ FC-0701 ] Literature and the World,FC-0701-5,Prof. Rita Kothari
14,Monsoon 2026,Senior Year Section,[ FC-0701 ] Literature and the World,FC-0701-6,Prof. Subhasree Chakravarty
15,Monsoon 2026,Senior Year Section,[ FC-0801 ] Principles of Science,FC-0801-6,"Prof. Somak Raychaudhury, Prof. Gautam Basu"
16,Monsoon 2026,Senior Year Section,[ FC-0801 ] Principles of Science,FC-0801-7,Prof. Sourav Pal
17,Spring 27,Senior Year Section,"[ FC-0412 ] Economy, Politics and Society",,Prof. Biswajit Banerjee
19,Spring 27,Senior Year Section,"[ FC-0412 ] Economy, Politics and Society",,Prof. Malvika Maheshwari
20,Spring 27,Senior Year Section,[ FC-0102 ] Environmental Studies,,Prof. Amita Baviskar
21,Spring 27,Senior Year Section,[ FC-0102 ] Environmental Studies,,Prof. Manvi Sharma
22,Spring 27,Senior Year Section,[ FC-0601 ] Great Books,,Prof. Lakshmi Subramaniun
23,Spring 27,Senior Year Section,[ FC-0601 ] Great Books,,Prof. Satish Kumar
24,Spring 27,Senior Year Section,[ FC-0201 ] Indian Civilisations,,Prof. Amar Farooqui
25,Spring 27,Senior Year Section,[ FC-0201 ] Indian Civilisations,,Prof. Aparna Vaidik
26,Spring 27,Senior Year Section,[ FC-0701 ] Literature and the World,,Prof. A. Narayanan
27,Spring 27,Senior Year Section,[ FC-0701 ] Literature and the World,,Prof. Sumana Roy
28,Spring 27,Senior Year Section,[ FC-0503 ] Mind and Behaviour,,Prof. Merve Rumeysa Tapinç
29,Spring 27,Senior Year Section,[ FC-0503 ] Mind and Behaviour,,Prof. Tatyana Aleksandrovna Kostochka
30,Spring 27,Senior Year Section,[ FC-0801 ] Principles of Science,,Prof. Anurag Agrawal
31,Spring 27,Senior Year Section,[ FC-0801 ] Principles of Science,,Prof. Kasturi Mitra
32,Spring 27,Senior Year Section,[ FC-0306 ] Quantitative Reasoning and Mathematical Thinking,,Prof. Bikram Phookun
33,Spring 27,Senior Year Section,[ FC-0306 ] Quantitative Reasoning and Mathematical Thinking,,Prof. Pritam Ghosh
